釜山行2：半岛, 动作／惊悚,上映时间: 2020-08-12
唐人街探案2, 喜剧／动作／悬疑,上映时间: 2018-02-16
第一次的离别, 剧情／家庭,上映时间: 2020-07-20
釜山行, 动作／惊悚／灾难,上映时间: 2016-05-13
天气之子, 爱情／动画／奇幻,上映时间: 2019-11-01
我在世界城等你, 短片,上映时间: 2016-05-16
误杀, 剧情／犯罪,上映时间: 2020-07-20
少年的你, 爱情／青春／剧情,上映时间: 2019-10-25
我是大哥大 电影版, 喜剧,上映时间: 2020-07-17
寻梦环游记, 动画／冒险／家庭,上映时间: 2020-07-20
战狼2, 动作／战争,上映时间: 2020-07-20
当幸福来敲门, 剧情／家庭／传记,上映时间: 2020-07-20
大鱼海棠, 剧情／动画／奇幻,上映时间: 2020-07-20
泰坦尼克号, 剧情／爱情／灾难,上映时间: 1998-04-03
毒液2, 动作／科幻／惊悚／恐怖,上映时间: 2020-06-25
复仇者联盟4：终局之战, 动作／冒险／奇幻,上映时间: 2019-04-24
恐怖电影院2, 恐怖／惊悚,上映时间: 2017-10-20
风声, 惊悚／剧情／犯罪,上映时间: 2020-07-20
纽约唐人街碎尸案, 剧情,上映时间: 1961
灰猎犬号, 剧情／战争,上映时间: 2020-07-10
泰坦尼克号3D, 爱情／灾难／剧情,上映时间: 2012-04-10
哥斯拉2：怪兽之王, 科幻／灾难／动作,上映时间: 2019-05-31
冰雪奇缘2, 喜剧／动画／冒险,上映时间: 2019-11-22
两只老虎, 剧情／喜剧,上映时间: 2019-11-29
哈利·波特与死亡圣器（下）, 奇幻／冒险,上映时间: 2011-08-04
数码宝贝大冒险：最后的进化·羁绊, 动画／冒险,上映时间: 2020-02-21
疯狂的外星人, 剧情／喜剧／科幻,上映时间: 2019-02-05
活着, 灾难,上映时间: 2020-06-24
速度与激情：增压, 动作／短片,上映时间: 2015-06-25
中国机长, 剧情／传记,上映时间: 2019-09-30
